%battle ax
%19,30,2,141,133,125,120,112
21,40,2,141,132,122,116,107
23,50,2,139,128,116,109,97
25,55,2,136,121,108,100,87
33,45,2,137,123,111,106,97
33,50,2,137,122,109,102,82
36,55,2,137,122,105,98,87
36,60,2,133,115,98,89,77
34,60,3,136,123,107,97,87
36,70,3,133,116,99,90,82
40,65,3,133,115,95,85,77
40,66,3,131,112,93,82,73
34,55,5,135,121,103,91,79
34,60,5,132,112,93,82,74
39,65,5,129,110,93,81,70
42,65,5,128,107,93,81,70
38,80,4,129,111,97,93,90
41,82,7,129,111,100,95,90
44,70,9,121,100,86,80,77
46,80,9,123,104,93,90,87
%bite
%16,94,1,148,145,139,127,106
23,82,1,148,142,133,121,103
25,67,1,145,139,124,112,94
30,58,1,139,130,121,112,91
22,79,1,148,142,130,118,97
22,76,1,148,142,130,118,100
28,67,1,145,139,124,112,94
33,64,1,139,127,115,106,94
20,88,1,148,145,136,124,106
25,79,1,148,142,130,118,97
32,73,1,139,127,118,109,88
37,58,1,139,127,115,106,85
29,67,1,139,127,115,103,79
29,67,1,139,130,115,103,82
38,61,1,136,124,112,100,79
42,58,1,130,118,106,97,76
29,67,1,139,130,121,112,91
35,64,1,136,124,112,100,82
43,52,1,127,115,109,91,67
45,49,1,124,112,106,85,64
%bola
%8,32,1,0,0,149,146,141
10,42,1,0,0,148,144,136
12,52,1,150,148,143,137,126
14,57,1,148,143,137,129,116
15,49,1,148,143,137,131,120
15,54,1,148,142,135,127,115
18,59,1,148,142,131,123,110
18,64,1,144,134,124,114,100
16,67,2,146,140,128,116,105
18,76,2,144,136,124,112,100
22,71,2,144,134,119,107,94
22,76,2,140,127,111,97,85
10,44,3,140,130,116,105,95
10,49,3,138,123,108,98,90
15,54,3,136,121,107,95,85
18,59,3,133,115,105,92,80
12,69,2,136,123,113,109,105
15,74,5,133,119,110,105,100
18,64,7,125,107,96,90,85
20,74,7,127,110,102,98,95
%broadsword
%8,30,1,150,148,143,136,125
10,40,1,150,148,142,134,120
12,50,1,148,143,135,125,110
14,55,1,144,134,125,116,100
15,45,1,147,140,133,124,110
15,50,1,147,139,131,120,105
18,55,1,146,137,123,112,100
18,60,1,142,129,116,103,90
16,60,2,144,136,122,108,95
18,70,2,141,129,115,101,90
22,65,2,141,130,110,96,85
22,70,2,137,120,102,86,75
20,50,4,140,129,113,98,85
20,55,4,137,120,103,89,80
25,60,4,135,118,103,87,75
28,65,4,132,112,100,85,70
22,75,3,133,117,105,99,95
25,80,6,130,113,103,95,90
28,70,8,121,101,89,81,75
30,80,8,122,102,94,89,85
%claw
%10,85,1,148,145,139,127,112
13,73,1,148,142,130,118,103
15,61,1,148,142,127,117,97
18,55,1,139,130,121,112,88
14,70,1,150,148,139,127,106
14,67,1,150,145,133,121,109
17,61,1,145,139,124,112,97
19,58,1,136,124,112,103,91
12,76,1,148,145,136,124,112
15,70,1,148,142,130,118,100
18,61,1,142,133,124,115,91
20,52,1,136,121,109,100,82
15,67,1,142,133,121,112,88
15,67,1,139,130,115,103,85
21,58,1,136,124,112,103,82
23,49,1,130,118,106,97,76
19,61,1,139,130,121,112,91
21,52,1,136,124,112,100,79
24,40,1,124,115,109,85,61
24,37,1,121,112,106,88,61
%club
%8,30,1,0,150,146,140,130
10,40,1,150,149,144,137,125
12,50,1,149,146,139,130,115
14,55,1,146,139,131,121,105
15,50,1,149,145,139,132,120
15,55,1,149,144,137,128,115
18,60,1,148,143,132,123,110
18,65,1,145,136,125,114,100
13,65,2,146,141,130,118,105
15,75,2,144,136,124,111,100
19,70,2,144,135,121,108,95
19,75,2,141,129,113,98,85
13,55,4,144,137,125,113,100
13,60,4,142,130,116,104,95
18,65,4,140,129,117,103,90
21,70,4,138,124,114,99,85
14,80,3,141,132,123,117,110
17,85,6,138,128,120,113,105
20,75,8,130,116,106,97,90
22,85,8,132,120,113,107,100
%coldball
%8,29,1,0,0,0,77,49
11,25,1,0,0,0,69,41
15,21,1,0,0,85,61,33
16,17,1,0,0,81,57,29
12,29,1,0,0,0,73,45
12,29,1,0,0,0,69,41
16,21,1,0,0,81,57,33
17,17,1,0,0,77,53,29
9,29,1,0,0,0,73,49
12,25,1,0,0,0,65,41
17,21,1,0,0,77,57,33
18,17,1,0,0,73,53,29
13,29,1,0,0,0,65,41
13,25,1,0,0,0,61,41
18,21,1,0,0,81,61,37
19,13,1,0,0,69,49,29
17,21,1,0,0,77,57,33
19,17,1,0,0,73,53,29
21,9,1,0,0,61,45,21
22,5,1,0,0,57,41,13
%composite bow
%11,50,1,146,141,135,130,120
13,60,1,146,141,134,127,115
15,70,1,144,136,127,118,105
17,75,1,140,128,117,108,95
22,60,1,143,132,121,113,100
22,65,1,143,131,119,109,95
25,70,1,142,130,113,102,90
25,75,1,138,122,106,93,80
20,75,2,144,136,122,108,95
22,85,2,141,129,115,101,90
26,80,2,141,127,110,96,85
26,79,2,138,122,105,90,80
21,65,4,141,129,112,96,80
21,70,4,137,119,100,85,75
26,71,4,135,118,102,85,72
29,71,4,135,116,104,88,72
17,90,3,138,126,114,107,100
20,95,6,135,122,112,104,95
23,81,8,127,111,99,90,82
27,93,8,130,116,108,101,94
%crush
%20,70,1,145,139,130,115,82
25,58,1,145,136,121,106,73
30,46,1,145,133,115,100,67
35,43,1,133,118,106,94,61
